Borrelia bissettii
Borrelia brasiliensis
Borrelia burgdorferi
Borrelia caucasica
Borrelia crocidurae
Borrelia duttonii
Borrelia garinii
Borrelia hermsii
Borrelia hispanica
Borrelia latyschewii
Borrelia mazzottii
Borrelia miyamotoi
Borrelia parkeri
Borrelia persica
Borrelia recurrentis
Borrelia spielmanii
Borrelia turicatae
Borrelia venezuelensis
Borreliella afzelii
Borreliella americana
Borreliella bavariensis
Borreliella burgdorferi
Borreliella garinii
Borreliella japonica
Borreliella lusitaniae
Borreliella spielmanii
Borreliella valaisiana
Bosea massiliensis
Brachyspira aalborgi
Brachyspira pilosicoli
Bradyrhizobium denitrificans
Brevibacillus agri
Brevibacillus brevis
Brevibacillus centrosporus
Brevibacterium casei
Brevibacterium epidermidis
Brevibacterium iodinum
Brevibacterium luteolum
Brevibacterium mcbrellneri
Brevibacterium otitidis
Brevibacterium paucivorans
Brevibacterium ravenspurgense
Brevibacterium sanguinis
Brevibacterium stationis
Brevundimonas diminuta
Brevundimonas vancanneytii
Brevundimonas vesicularis
Brucella abortus
Brucella canis
Brucella ceti
Brucella inopinata
Brucella melitensis
Brucella pinnipedialis
Brucella sp.
Brucella suis
Bulleidia extructa
Burkholderia ambifaria
Burkholderia anthina
Burkholderia arboris
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia diffusa
Burkholderia dolosa
Burkholderia endofungorum
Burkholderia fungorum
Burkholderia gladioli
Burkholderia lata
Burkholderia latens
Burkholderia mallei
Burkholderia metallica
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia pseudomallei
Burkholderia pyrrocinia
Burkholderia rhizoxinica
Burkholderia seminalis
Burkholderia stabilis
Burkholderia thailandensis
Burkholderia tropica
Burkholderia ubonensis
Burkholderia vietnamiensis
Buttiauxella gaviniae
Butyricimonas faecihominis
Butyricimonas paravirosa
Butyricimonas virosa
Butyrivibrio fibrisolvens
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter hominis
Campylobacter hyointestinalis
Campylobacter insulaenigrae
Campylobacter jejuni
Campylobacter lanienae
Campylobacter lari
Campylobacter mucosalis
Campylobacter rectus
Campylobacter showae
Campylobacter sputorum
Campylobacter upsaliensis
Campylobacter ureolyticus
Canibacter oris
Capnocytophaga canimorsus
Capnocytophaga cynodegmi
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga haemolytica
Capnocytophaga leadbetteri
Capnocytophaga ochracea
Capnocytophaga sputigena
Carnobacterium divergens
Carnobacterium maltaromaticum
Catenibacterium mitsuokai
Catonella morbi
Cedecea davisae
Cedecea lapagei
Cedecea neteri
Cellulomonas denverensis
Cellulomonas hominis
Cellulomonas massiliensis
Centipeda periodontii
Cercopithecine betaherpesvirus
Cercopithecine herpesvirus
Cetobacterium somerae
Chitinophaga terrae
Chlamydia caviae
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia trachomatis
Chlamydophila abortus
Chlamydophila felis
Chlamydophila pneumoniae
Chlamydophila psittaci
Christensenella hongkongensis
Chromobacterium haemolyticum
Chromobacterium violaceum
Chryseobacterium anthropi
Chryseobacterium balustinum
Chryseobacterium bernardetii
Chryseobacterium carnis
Chryseobacterium gleum
Chryseobacterium hominis
Chryseobacterium indologenes
Chryseobacterium lactis
Chryseobacterium nakagawai
Chryseobacterium oranimense
Chryseobacterium treverense
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter gillenii
Citrobacter koseri
Citrobacter murliniae
Citrobacter pasteurii
Citrobacter rodentium
Citrobacter sedlakii
Citrobacter werkmanii
Citrobacter youngae
Clostridioides difficile
Clostridium aldenense
Clostridium amygdalinum
Clostridium asparagiforme
Clostridium baratii
Clostridium bolteae
Clostridium botulinum
Clostridium butyricum
Clostridium cadaveris
Clostridium carnis
Clostridium celatum
Clostridium celerecrescens
Clostridium chauvoei
Clostridium citroniae
Clostridium clostridioforme
Clostridium cocleatum
Clostridium difficile
Clostridium fallax
Clostridium hathewayi
Clostridium hiranonis
Clostridium histolyticum
Clostridium hylemonae
Clostridium innocuum
Clostridium intestinale
Clostridium lavalense
Clostridium limosum
Clostridium moniliforme
Clostridium novyi
Clostridium perfringens
Clostridium piliforme
Clostridium ramosum
Clostridium septicum
Clostridium sordellii
Clostridium sphenoides
Clostridium spiroforme
Clostridium sporogenes
Clostridium tertium
Clostridium tetani
Collinsella aerofaciens
Collinsella intestinalis
Collinsella stercoris
Collinsella tanakaei
Comamonas kerstersii
Comamonas testosteroni
Coprobacter fastidiosus
Corynebacterium accolens
Corynebacterium afermentans
Corynebacterium amycolatum
Corynebacterium appendicis
Corynebacterium aquatimens
Corynebacterium argentoratense
Corynebacterium atypicum
Corynebacterium aurimucosum
Corynebacterium auris
Corynebacterium auriscanis
Corynebacterium bovis
Corynebacterium canis
Corynebacterium confusum
Corynebacterium coyleae
Corynebacterium diphtheriae
Corynebacterium durum
Corynebacterium falsenii
Corynebacterium freiburgense
Corynebacterium freneyi
Corynebacterium glucuronolyticum
Corynebacterium hansenii
Corynebacterium imitans
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium kutscheri
Corynebacterium lipophiloflavum
Corynebacterium macginleyi
Corynebacterium massiliense
Corynebacterium mastitidis
Corynebacterium matruchotii
Corynebacterium minutissimum
Corynebacterium mucifaciens
Corynebacterium mycetoides
Corynebacterium pilbarense
Corynebacterium propinquum
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudotuberculosis
Corynebacterium pyruviciproducens
Corynebacterium resistens
Corynebacterium riegelii
Corynebacterium sputi
Corynebacterium striatum
Corynebacterium sundsvallense
Corynebacterium timonense
Corynebacterium tuberculostearicum
Corynebacterium ulcerans
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Corynebacterium xerosis
Coxiella burnetii
Cronobacter dublinensis
Cronobacter malonaticus
Cronobacter sakazakii
Cronobacter turicensis
Cronobacter universalis
Cruoricaptor ignavus
Cryptobacterium curtum
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus pauculus
Cupriavidus respiraculi
Curtobacterium flaccumfaciens
Cutibacterium acnes
Cyclovirus PK5034
Defluvibacter lusatiensis
Delftia acidovorans
Delftia lacustris
Delftia tsuruhatensis
Dermatophilus congolensis
Desmospora activa
Desulfomicrobium orale
Desulfovibrio desulfuricans
Desulfovibrio intestinalis
Desulfovibrio legallii
Desulfovibrio piger
Desulfovibrio vulgaris
Dialister invisus
Dialister micraerophilus
Dialister pneumosintes
Dialister propionicifaciens
Dialister succinatiphilus
Diaphorobacter nitroreducens
Diplorickettsia massiliensis
Dokdonella koreensis
Dolosigranulum pigrum
Dorea formicigenerans
Dorea longicatena
Dyella japonica
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas hofstadii
Dysgonomonas mossii
Edwardsiella hoshinae
Edwardsiella tarda
Eggerthella lenta
Eggerthella sinensis
Eggerthia catenaformis
Ehrlichia canis
Ehrlichia chaffeensis
Ehrlichia ewingii
Ehrlichia muris
Ehrlichia ruminantium
Eikenella corrodens
