N1,L1,N2,L2,L_joint,result
1177,-0.07104695437686603,714,-0.5247356310819488,-0.36868515758401177,477.80025419456706
1177,-0.07470154022031644,714,-0.46844530694974007,-0.2814374526669558,219.60912198357323
1177,-0.073443608730792,714,-0.4016084195288995,-0.3992182083650492,763.460185997063
1177,-0.002977813424249692,714,-0.5648590936055918,-0.33452363775292504,451.53983951209364
1177,-0.07646260578995963,714,-0.5706662150827214,-0.39796566103236475,510.20180085671234
1177,-0.06808287961706852,714,-0.5846907506190755,-0.4232752691756361,605.6215775196367
1177,-0.07349918265821791,714,-0.5803502354520862,-0.3829682109741871,446.6285617013515
1177,-0.07166595610762978,714,-0.5405153642657438,-0.3429736293485958,356.5686653475468
1177,-0.07646260578995963,714,-0.4981707993364332,-0.3232534978430343,331.1638533603641
1177,-0.06928588880722285,714,-0.4600722247588401,-0.3233043666990318,402.65499564791185
1177,-0.073443608730792,714,-0.4990084825089797,-0.3277611785406739,354.1224092657211
1177,-0.07166595610762978,714,-0.4961023673320271,-0.41895869762024995,707.3659531722901
1177,-0.07640670561645528,714,-0.5706578494960795,-0.45078075349249674,710.0920156070856
1177,-0.07470154022031644,714,-0.5542448237080795,-0.39559991061066524,528.8498279957735
1177,-0.06808287961706852,714,-0.5730379753515102,-0.45858869885206,755.817131637955
1177,-0.008420977910944205,714,-0.5738616432389654,-0.3460303902724191,469.389527462684
1177,-0.002977813424249692,714,-0.5783845733684785,-0.34074500895484344,455.7546802963469
1177,-0.07166595610762978,714,-0.5714700179817713,-0.35549826609466184,359.7335960146811
1177,-0.07646260578995961,714,-0.543121232794986,-0.3776495456495293,472.7004871857148
1177,-0.07104695437686603,714,-0.5689612928333412,-0.372796764899127,430.1961080793444
1177,-0.008420977910944205,714,-0.6015486353522248,-0.3971469825406896,623.1754546835484
1177,-0.07575801464906666,714,-0.5640746434052002,-0.35242942671015987,349.05513455129585
1177,-0.073443608730792,714,-0.5443155168235896,-0.3761981006418923,472.6124036512664
1177,-0.07104695437686603,714,-0.5135799184263028,-0.420266464400571,688.8111142470566
1177,-0.06928588880722285,714,-0.45801852275044336,-0.40193997927357916,702.9875688728407
1177,-0.06928588880722285,714,-0.5299557043536112,-0.3858921142294003,539.5682479464326
1177,-0.07349918265821791,714,-0.5232993666642554,-0.36283910556258747,451.9689256637042
1177,-0.07104695437686603,714,-0.5096779061432426,-0.35372240110334946,442.7135403971745
1177,-0.07646260578995963,714,-0.5181780879597688,-0.4133651982930301,643.395896308125
1177,-0.008420977910944205,714,-0.4116884149087818,-0.4229020010381078,991.7013294340207
1177,-0.07575801464906666,714,-0.46334883482596484,-0.41449686221512705,727.6306302822296
1177,-0.008420977910944205,714,-0.5608703008357923,-0.3950463992811084,673.3197104852779
1177,-0.07575801464906666,714,-0.5970494070005716,-0.4103518750617135,521.0298718026813
1177,-0.07575801464906666,714,-0.582300012615378,-0.4407491629160468,657.0545496498264
1177,-0.073443608730792,714,-0.5573093937558012,-0.4662408154860244,794.5986949325759
1177,-0.0704801855990503,714,-0.5314583175440172,-0.3514912442596906,404.5070514371288
1177,-0.002977813424249692,714,-0.5360791161940106,-0.3041148141154223,377.63147625879606
1177,-0.07470154022031643,714,-0.43436266633522547,-0.4354650703344149,850.8115827994304
1177,-0.008420977910944205,714,-0.45161240374184153,-0.24577951281041815,264.812622903289
1177,-0.005443792278064928,714,-0.5101655605130859,-0.3824498720605012,705.0943086975639
1177,-0.002977813424249692,714,-0.48789695684522566,-0.27677761926856725,343.0463288980553
1177,-0.07575801464906665,714,-0.5093654486582889,-0.4043819575526799,623.6643362962961
1177,-0.07349918265821791,714,-0.45570007407429924,-0.30032410152701944,312.06897021964335
1177,-0.07646260578995963,714,-0.5220745144100654,-0.39171039832725774,555.9333458665506
1177,-0.01315829406953907,714,-0.5490008412524718,-0.3906291869852083,662.411759629833
1177,-0.07646260578995963,714,-0.5134333726579926,-0.39151973740047863,567.5518166634319
1177,-0.07470154022031643,714,-0.5763518306706243,-0.43952221057290225,663.39516051044
1177,-0.07349918265821791,714,-0.47243551131327155,-0.3309573796057811,404.02582353626735
1177,-0.008420977910944205,714,-0.5121729764555357,-0.3588766002254604,606.0653096718236
1177,-0.07825707141056505,714,-0.468745806307474,-0.43626973426009197,796.3859774641248
1177,-0.07575801464906665,714,-0.5488195734555598,-0.4605511368490221,779.7556821845594
1177,-0.0704801855990503,714,-0.585262140370042,-0.39410564283426847,488.842847850619
1177,-0.07349918265821791,714,-0.5532938012102925,-0.36186735139144655,405.46169885670827
1177,-0.002977813424249692,714,-0.5619585153110394,-0.4163810108622118,765.2664504160371
1177,-0.07104695437686603,714,-0.5026213253246782,-0.29931880168064595,247.03592478941994
1177,-0.007716386770051236,714,-0.5432160905593743,-0.35557150402041404,550.8944764297189
1177,-0.07470154022031643,714,-0.5422936264761891,-0.3893257481031778,522.1872550395956
1177,-0.07166595610762978,714,-0.5343201675768312,-0.4438927928088549,747.0916824260139
1177,-0.008420977910944205,714,-0.5052620051609422,-0.28932625294303754,352.89476325837984
1177,-0.07575801464906665,714,-0.5452824801817228,-0.46859376466507596,815.2238697799144
1177,-0.06808287961706852,714,-0.597975456071754,-0.39533029571840905,480.96312851797916
1177,-0.005443792278064928,714,-0.5837503584164809,-0.3873665770865139,618.610195699896
1177,-0.07349918265821792,714,-0.5247767987268952,-0.3234719113367074,300.9724241159761
1177,-0.0704801855990503,714,-0.5681605303966717,-0.38265329014343874,469.9511490158736
1177,-0.07349918265821792,714,-0.5965062291539419,-0.4304694933613608,603.2076526833926
1177,-0.07470154022031644,714,-0.5906813931596867,-0.38851161475664114,450.01047189895917
1177,-0.07166595610762978,714,-0.5674996218184925,-0.38093814051574687,461.6169267963869
1177,-0.07470154022031644,714,-0.5570352696201644,-0.45264860974279586,740.6232513510342
1177,-0.073443608730792,714,-0.5605182881341003,-0.44629409229543116,714.5778866535409
1177,-0.073443608730792,714,-0.587542549430206,-0.42388381256158214,591.2315635692852
1177,-0.073443608730792,714,-0.5760741212555818,-0.4430313231650229,680.0243641048615
1177,-0.002977813424249692,714,-0.5447739377233596,-0.3139192361032822,402.295595072972
1177,-0.07575801464906665,714,-0.5127434331583541,-0.3441816527616294,391.1630217104496
1177,-0.008420977910944205,714,-0.5452308247556357,-0.3498354364165229,524.6650207738794
1177,-0.07104695437686603,714,-0.5088180238472029,-0.4032587434989354,631.2878992560255
1177,-0.07104695437686603,714,-0.5833142206634748,-0.4368212867701085,651.8408688539657
1177,-0.07349918265821791,714,-0.5781232411739632,-0.37370540036968525,414.77675982428525
1177,-0.002977813424249692,714,-0.5846866738832056,-0.43267084685678464,794.4187997064581
1177,-0.07646260578995963,714,-0.5834418244069443,-0.4060518659031975,522.5402575632114
1177,-0.007716386770051236,714,-0.5865321140298037,-0.42587849104968967,754.9402198586661
1177,-0.07166595610762978,714,-0.49960826812212034,-0.33396693527242516,380.92068164456373
1177,-0.073443608730792,714,-0.6038038938531993,-0.42726179048369667,580.7858762346877
1177,-0.005443792278064928,714,-0.5708699956650597,-0.4049121888176391,703.360857276041
1177,-0.07349918265821791,714,-0.561672830291255,-0.34866127923747503,343.55108044277347
1177,-0.07349918265821791,714,-0.5664306871019896,-0.41026377694819927,569.7375072590033
1177,-0.008420977910944205,714,-0.5944195183199159,-0.40060877525802707,646.4483338626558
1177,-0.07349918265821792,714,-0.5806622743867967,-0.42625616475923656,609.8980113176419
1177,-0.002977813424249692,714,-0.597089416407325,-0.3881419267224392,608.2993074339211
1177,-0.007716386770051236,714,-0.5764847507342841,-0.3865677727283753,620.6147179534572
1177,-0.07646260578995963,714,-0.5563600437475092,-0.41517380593061093,595.7122175285624
1177,-0.06928588880722285,714,-0.5373120855584537,-0.44465137383796327,751.2908554255025
1177,-0.073443608730792,714,-0.5455868979069565,-0.3863291931325007,509.11266326369935
1177,-0.07646260578995963,714,-0.5795188277512637,-0.42340108736639825,593.7570523613487
1177,-0.06928588880722285,714,-0.5603404698387145,-0.3490717870427213,356.924325413685
1177,-0.07104695437686603,714,-0.5608149472350569,-0.38930716339842086,504.27141671802383
1177,-0.002977813424249692,714,-0.5091088230278625,-0.4212099811986447,858.9989768088028
